paper_id,title,doi,confidence_score,final_confidence
BES-0001,"Blockchain-Based Secure Online Voting Platform Ensuring Voter Anonymity, Integrity, and End-to-End Verifiability",10.48550/arXiv.2509.22965,0.9,HIGH
BES-0005,"Enhancing Democratic Processes: A Survey of DRE, Internet, and Blockchain in Electronic Voting Systems",10.1109/access.2025.3531349,0.7,MEDIUM
BES-0011,Kite: How to Delegate Voting Power Privately,10.48550/arXiv.2501.05626,0.7,MEDIUM
BES-0014,Blockchain-enhanced electoral integrity: a robust model for secure digital voting systems in Oman,10.12688/f1000research.160087.3,0.9,HIGH
BES-0016,Blockchain Based Cryptographic Algorithm for Data Protection in Electronic Voting System,10.4108/eetiot.7680,0.7,MEDIUM
BES-0020,Leveraging blockchain for robust and transparent E-voting systems,10.1016/j.csa.2025.100086,0.9,HIGH
BES-0024,A Comprehensive Review of Blockchain based E-Voting Technologies and Challenges,10.1109/ICEARS64219.2025.10940076,0.9,HIGH
BES-0025,"An efficient and secure privacy-preserving E-voting system with blockchain, homomorphic encryption, and ZKP",10.1080/1206212X.2025.2535679,0.9,HIGH
BES-0026,MBCSD-IoT: A Multi-Level Blockchain-Assisted SDN-Based IoT Architecture for Secured E-Voting System,10.1109/TNSE.2025.3535726,0.9,HIGH
BES-0027,Securing Blockchain-Based E-Voting Through Shamir's Secret Sharing over Ethereum,10.1109/ISDFS65363.2025.11011920,0.9,HIGH
BES-0028,Secure and Scalable Blockchain Voting: A Comparative Framework and the Role of Large Language Models,10.55248/gengpi.6.0825.2847,0.9,HIGH
BES-0031,Electoral Voting System Using Blockchain,10.55041/ijsrem40626,0.9,HIGH
BES-0032,Blockchain-Based Voting Systems Enhancing Transparency and Security in Electoral Processes,10.1051/itmconf/20257602004,0.7,MEDIUM
BES-0033,Decentralized E-Voting and Governance System Using Blockchain,10.52783/jisem.v10i2s.201,0.7,MEDIUM
BES-0034,Empowering Democracy: Does Blockchain Unlock the E‐Voting Potential for Citizens?,10.1155/hbe2/6681599,0.7,MEDIUM
BES-0038,"Blockchain in Electronic Voting: A Systematic Review of Security, Scalability, and Emerging Technologies",10.1109/IITCEE64140.2025.10915302,0.9,HIGH
BES-0039,Electronic Voting System Using Blockchain Technology,10.1109/ICDT63985.2025.10986372,0.7,MEDIUM
BES-0041,A New Era of Elections: Leveraging Blockchain for Fair and Transparent Voting,10.48550/arXiv.2502.16127,0.9,HIGH
BES-0043,QV-net: Decentralized Self-Tallying Quadratic Voting with Maximal Ballot Secrecy,10.1145/3719027.3744810,0.9,HIGH
BES-0044,Trustereum: a Trustworthy and Transparent Voting System Leveraging Ethereum Blockchain,10.1109/ICKECS65700.2025.11035613,0.9,HIGH
BES-0045,VoteMate: A Decentralized Application for Scalable Electronic Voting on EVM-Based Blockchain,10.48550/arXiv.2505.15797,0.7,MEDIUM
BES-0048,Secure E-Voting with Open Source Blockchain: Enhancing AES and RSA Encryption with Face Authentication Technology,10.1109/ICMLAS64557.2025.10968871,0.9,HIGH
BES-0049,"Analysing security and efficiency in a quantum resistant decentralised E-voting system using blockchain, homomorphic encryption and zero knowledge proofs",10.1109/RMKMATE64874.2025.11042466,0.9,HIGH
BES-0050,Perancangan dan Implementasi Sistem E-Voting Menggunakan Teknologi Blockchain dan Smart Contract,10.55679/semantik.v11i1.138,0.9,HIGH
BES-0051,Transforming E-Voting with Blockchain: A Review of Technologies and Practical Implementations,10.48175/ijarsct-23909,0.9,HIGH
BES-0052,Self-Tallying E-Voting Using Homomorphic Time-Lock Puzzles and ZK-SNARKs,10.1109/TNSE.2025.3550290,0.9,HIGH
BES-0053,Revolutionizing Democratic Engagement: Block chain Based E-Voting System with Enhanced Biometric Security,10.1109/IITCEE64140.2025.10915356,0.9,HIGH
BES-0054,Design of a secure electronic voting system based on zero-knowledge proof and blockchain technology,10.1177/14727978251361854,0.9,HIGH
BES-0056,A Comprehensive Secured Digital Voting System using Web Development and Blockchain,10.1109/ICICCS65191.2025.10985218,0.7,MEDIUM
BES-0057,A Privacy-Preserving E-Voting System using Federated Learning and CNNs for Secure Fingerprint and Biometric Verification,10.24237/djes.2025.18312,0.9,HIGH
BES-0058,Development of Student Government E-Voting Application,10.69569/jip.2024.0675,0.9,HIGH
BES-0059,Decentralized digital Ledger for Secure and Transparent crypto Voting,10.1109/ICDSAAI65575.2025.11011783,0.7,MEDIUM
BES-0060,Block-Voter: A Full-Stack Ethereum-based Electronic Voting DApp,10.1109/ICICCS65191.2025.10984491,0.9,HIGH
BES-0062,Blockchain-Driven E-Voting: Enhancing Security and Integrity with Smart Contracts,10.31645/jisrc.25.23.1.3,0.9,HIGH
BES-0063,Beyond the Ballot Box: Decentralized Voting on the Ethereum Blockchain,10.55041/ijsrem42763,0.7,MEDIUM
